,Budget Per Query,Base_1000Q,Base_5000Q
478,0.0001,0.001,0.0002
479,0.0001,0.001,0.0002
480,0.0001,0.001,0.0002
481,0.0001,0.001,0.0002
482,0.0001,0.001,0.0002
483,0.0001,0.001,0.0002
484,0.0001,0.001,0.0002
485,0.0001,0.001,0.0002
486,0.0001,0.001,0.0002
487,0.0001,0.001,0.0002
488,0.0001,0.001,0.0002
489,0.0001,0.001,0.0002
490,0.0001,0.001,0.0002
491,0.0001,0.001,0.0002
492,0.0001,0.001,0.0002
493,0.0001,0.001,0.0002
494,0.0001,0.001,0.0002
495,0.0001,0.001,0.0002
496,0.0001,0.001,0.0002
497,0.0001,0.001,0.0002
498,0.0001,0.001,0.0002
499,0.0001,0.001,0.0002
500,0.0001,0.001,0.0002
501,0.0001,0.001,0.0002
502,0.0001,0.001,0.0002
503,0.0001,0.001,0.0002
504,0.0001,0.001,0.0002
505,0.0001,0.001,0.0002
506,0.0001,0.001,0.0002
507,0.0001,0.001,0.0002
508,0.0001,0.001,0.0002
509,0.0001,0.001,0.0002
510,0.0001,0.001,0.0002
511,0.0001,0.001,0.0002
512,0.0001,0.001,0.0002
513,0.0001,0.001,0.0002
514,0.0001,0.001,0.0002
515,0.0001,0.001,0.0002
516,0.00001,0.001,0.0002
517,0.0001,0.001,0.0002
518,0.0001,0.001,0.0002
519,0.0001,0.001,0.0002
520,0.0001,0.001,0.0002
521,0.0001,0.001,0.0002
522,0.0001,0.001,0.0002
523,0.0001,0.001,0.0002
524,0.0001,0.001,0.0002
525,0.0001,0.001,0.0002
526,0.0001,0.001,0.0002
527,0.0001,0.001,0.0002
528,0.0001,0.001,0.0002
529,0.0001,0.001,0.0002
530,0.0001,0.001,0.0002
531,0.0001,0.001,0.0002
532,0.0001,0.001,0.0002
533,0.0001,0.001,0.0002
534,0.001,0.001,0.0002
535,0.0001,0.001,0.0002
536,0.0001,0.001,0.0002
537,0.0001,0.001,0.0002
538,0.0001,0.001,0.0002
539,0.0001,0.001,0.0002
540,0.0001,0.001,0.0002
541,0.0001,0.001,0.0002
542,0.0001,0.001,0.0002
543,0.0001,0.001,0.0002
544,0.0001,0.001,0.0002
545,0.0001,0.001,0.0002
546,0.0001,0.001,0.0002
547,0.0001,0.001,0.0002
